scaling,pca_components,k,metric,weights,mean_macro_f1,std_macro_f1,fold1_macro_f1,fold2_macro_f1,fold3_macro_f1,fold4_macro_f1,fold5_macro_f1
standard,50,7,euclidean,uniform,0.8123524508191927,0.00675789450372062,0.8118025017250646,0.8218635018948625,0.8013003458622752,0.8159716639599918,0.8108242406537698
minmax,30,5,manhattan,uniform,0.8123315157451738,0.01021550712430789,0.8182155982091768,0.8226267123762128,0.8030405962983658,0.820530434637254,0.7972442372048605
minmax,30,7,cosine,uniform,0.8123206670659954,0.0095858533618805,0.8032765511479194,0.8253027199482486,0.8110658844719634,0.8210770861067802,0.8008810936550652
minmax,30,3,cosine,distance,0.8123160980603978,0.00993009554199961,0.8074052496674586,0.8229963798473309,0.803542880711918,0.8255091926001065,0.8021267874751757
standard,100,7,euclidean,uniform,0.8122101460772393,0.010682382472809471,0.8128939430852148,0.8250004644991247,0.8128769789663061,0.8175105808782034,0.7927687629573482
standard,50,5,euclidean,uniform,0.8120811440557443,0.012119913267104177,0.8114499393897919,0.8211799357691947,0.7939221320394001,0.8286435856413806,0.8052101274389534
minmax,50,7,euclidean,uniform,0.8119762730653681,0.005061831632127662,0.8104141759330716,0.8197620422965514,0.8121037884847867,0.813537096504876,0.8040642621075543
standard,100,5,euclidean,uniform,0.811893365355681,0.01153079780457198,0.8100646160628855,0.8211049254539174,0.8095646512511452,0.8260756627512261,0.792656971259231
minmax,30,7,euclidean,uniform,0.8116192378479372,0.007197634934893076,0.8153485497528191,0.8179796426101612,0.8006159875945202,0.8185249750748428,0.8056270342073422
minmax,50,3,cosine,uniform,0.8115743563358168,0.009790441627049461,0.8025768246621926,0.8272996164906846,0.8101029101522222,0.8171634211427798,0.8007290092312045
